timestamp,name,attribute_name,value
23:03.4,EV Chargers,power,106.123
53:19.4,EV Chargers,power,89.761
23:41.3,EV Chargers,power,69.526
54:02.0,EV Chargers,power,58.294
24:27.2,EV Chargers,power,49.534
54:47.1,EV Chargers,power,37.791
25:06.5,EV Chargers,power,30.733
55:07.5,EV Chargers,power,28.914
25:27.2,EV Chargers,power,25.541
55:54.8,EV Chargers,power,21.732
25:55.4,EV Chargers,power,17.105
56:26.0,EV Chargers,power,13.447
26:44.1,EV Chargers,power,12.71
10/21/2021 4:57,EV Chargers,power,12.211
58:14.8,EV Chargers,power,15.083
28:15.4,EV Chargers,power,29.217
58:16.0,EV Chargers,power,57.261
28:31.6,EV Chargers,power,127.84
28:32.5,EV Chargers,power,69.802
58:51.0,EV Chargers,power,127.84
58:54.4,EV Chargers,power,77.069
29:14.7,EV Chargers,power,78.346
29:28.5,EV Chargers,power,127.84
59:33.3,EV Chargers,power,75.124
59:49.5,EV Chargers,power,127.84
29:51.5,EV Chargers,power,73.406
30:09.5,EV Chargers,power,127.84
00:13.8,EV Chargers,power,73.837
00:14.9,EV Chargers,power,127.84
30:31.4,EV Chargers,power,127.84
30:34.8,EV Chargers,power,76.553
00:55.0,EV Chargers,power,82.892
01:04.7,EV Chargers,power,127.84
31:11.6,EV Chargers,power,82.366
31:35.0,EV Chargers,power,127.84
01:53.4,EV Chargers,power,76.415
01:54.4,EV Chargers,power,127.84
32:09.1,EV Chargers,power,71.368
32:16.9,EV Chargers,power,127.84
02:29.9,EV Chargers,power,74.752
02:34.9,EV Chargers,power,127.84
32:30.6,EV Chargers,power,79.409
32:35.7,EV Chargers,power,127.84
02:55.3,EV Chargers,power,89.765
02:55.6,EV Chargers,power,127.84
33:20.3,EV Chargers,power,127.84
33:20.8,EV Chargers,power,91.002
03:38.1,EV Chargers,power,99.94
03:46.4,EV Chargers,power,127.84
33:39.2,EV Chargers,power,120.035
33:46.7,EV Chargers,power,127.84
04:11.8,EV Chargers,power,151.355
04:20.1,EV Chargers,power,127.84
34:20.4,EV Chargers,power,127.84
34:32.4,EV Chargers,power,170.767
04:36.7,EV Chargers,power,127.84
04:52.4,EV Chargers,power,176.947
34:54.9,EV Chargers,power,127.84
05:20.0,EV Chargers,power,127.84
06:03.1,EV Chargers,power,170.644
35:45.2,EV Chargers,power,127.84
36:03.5,EV Chargers,power,172.636
06:11.5,EV Chargers,power,127.84
06:18.5,EV Chargers,power,162.04
36:28.7,EV Chargers,power,127.84
36:45.6,EV Chargers,power,157.782
06:49.0,EV Chargers,power,127.84
07:08.0,EV Chargers,power,156.61
37:10.9,EV Chargers,power,127.84
37:30.6,EV Chargers,power,155.758
07:28.3,EV Chargers,power,127.84
07:31.0,EV Chargers,power,148.958
38:02.0,EV Chargers,power,127.84
38:03.0,EV Chargers,power,134.425
08:26.5,EV Chargers,power,124.677
38:27.0,EV Chargers,power,112.498
08:49.6,EV Chargers,power,90.147
39:09.2,EV Chargers,power,71.168
09:37.8,EV Chargers,power,58.712
40:02.2,EV Chargers,power,47.909
10:03.2,EV Chargers,power,33.642
40:30.7,EV Chargers,power,24.389
10:31.2,EV Chargers,power,20.122
40:49.1,EV Chargers,power,17.587
41:59.8,EV Chargers,power,13.313
12:01.1,EV Chargers,power,10.87
42:21.0,EV Chargers,power,9.907
12:41.6,EV Chargers,power,13.019
43:00.0,EV Chargers,power,18.674
13:19.3,EV Chargers,power,27.954
43:41.4,EV Chargers,power,45.668
13:57.6,EV Chargers,power,62.988
44:20.2,EV Chargers,power,71.493
44:28.1,EV Chargers,power,118.479
14:47.3,EV Chargers,power,73.799
