timestamp,name,attribute_name,value
2021-10-20 23:54:02.035,EV Chargers,power,58.294
2021-10-21 00:24:27.151,EV Chargers,power,49.534
2021-10-21 00:54:47.055,EV Chargers,power,37.791
2021-10-21 01:25:06.544,EV Chargers,power,30.733
2021-10-21 01:55:07.528,EV Chargers,power,28.914
2021-10-21 02:25:27.181,EV Chargers,power,25.541
2021-10-21 02:55:54.766,EV Chargers,power,21.732
2021-10-21 03:25:55.386,EV Chargers,power,17.105
2021-10-21 03:56:25.967,EV Chargers,power,13.447
2021-10-21 04:26:44.058,EV Chargers,power,12.71
2021-10-21 04:57:04,EV Chargers,power,12.211
2021-10-21 05:58:14.792,EV Chargers,power,15.083
2021-10-21 06:28:15.41,EV Chargers,power,29.217
2021-10-21 06:58:15.977,EV Chargers,power,57.261
2021-10-21 07:28:32.451,EV Chargers,power,69.802
2021-10-21 07:58:54.419,EV Chargers,power,77.069
2021-10-21 08:29:14.67,EV Chargers,power,78.346
2021-10-21 08:59:33.301,EV Chargers,power,75.124
2021-10-21 09:29:51.542,EV Chargers,power,73.406
2021-10-21 10:00:13.766,EV Chargers,power,73.837
2021-10-21 10:30:34.775,EV Chargers,power,76.553
2021-10-21 11:00:55.025,EV Chargers,power,82.892
2021-10-21 11:31:11.565,EV Chargers,power,82.366
2021-10-21 12:01:53.385,EV Chargers,power,76.415
2021-10-21 12:32:09.134,EV Chargers,power,71.368
2021-10-21 13:02:29.877,EV Chargers,power,74.752
2021-10-21 13:32:30.625,EV Chargers,power,79.409
2021-10-21 14:02:55.295,EV Chargers,power,89.765
2021-10-21 14:33:20.776,EV Chargers,power,91.002
2021-10-21 15:03:38.145,EV Chargers,power,99.94
2021-10-21 15:33:39.229,EV Chargers,power,120.035
2021-10-21 16:04:11.842,EV Chargers,power,151.355
2021-10-21 16:34:32.364,EV Chargers,power,170.767
2021-10-21 17:04:52.374,EV Chargers,power,176.947
2021-10-21 18:06:03.138,EV Chargers,power,170.644
2021-10-21 18:36:03.508,EV Chargers,power,172.636
2021-10-21 19:06:18.523,EV Chargers,power,162.04
2021-10-21 19:36:45.58,EV Chargers,power,157.782
2021-10-21 20:07:07.998,EV Chargers,power,156.61
2021-10-21 20:37:30.641,EV Chargers,power,155.758
2021-10-21 21:07:31.023,EV Chargers,power,148.958
2021-10-21 21:38:02.983,EV Chargers,power,134.425
2021-10-21 22:08:26.491,EV Chargers,power,124.677
2021-10-21 22:38:26.997,EV Chargers,power,112.498
2021-10-21 23:08:49.581,EV Chargers,power,90.147
2021-10-21 23:39:09.189,EV Chargers,power,71.168
2021-10-22 00:09:37.761,EV Chargers,power,58.712
2021-10-22 00:40:02.162,EV Chargers,power,47.909
2021-10-22 01:10:03.163,EV Chargers,power,33.642
2021-10-22 01:40:30.719,EV Chargers,power,24.389
2021-10-22 02:10:31.194,EV Chargers,power,20.122
2021-10-22 02:40:49.101,EV Chargers,power,17.587
2021-10-22 03:41:59.769,EV Chargers,power,13.313
2021-10-22 04:12:01.079,EV Chargers,power,10.87
2021-10-22 04:42:20.962,EV Chargers,power,9.907
2021-10-22 05:12:41.648,EV Chargers,power,13.019
2021-10-22 05:43:00.045,EV Chargers,power,18.674
2021-10-22 06:13:19.299,EV Chargers,power,27.954
2021-10-22 06:43:41.364,EV Chargers,power,45.668
2021-10-22 07:13:57.571,EV Chargers,power,62.988
2021-10-22 07:44:20.246,EV Chargers,power,71.493
2021-10-22 08:14:47.251,EV Chargers,power,73.799
2021-10-22 08:45:03.059,EV Chargers,power,79.249
2021-10-22 09:15:44.389,EV Chargers,power,76.378
2021-10-22 09:45:44.857,EV Chargers,power,82.527
2021-10-22 10:16:08.06,EV Chargers,power,81.867
2021-10-22 10:46:48.434,EV Chargers,power,96.386
2021-10-22 11:16:48.849,EV Chargers,power,99.918
2021-10-22 11:47:05.882,EV Chargers,power,94.074
2021-10-22 12:17:29.299,EV Chargers,power,94.48
2021-10-22 12:47:55.535,EV Chargers,power,90.411
2021-10-22 13:17:57.123,EV Chargers,power,92.147
2021-10-22 13:47:57.56,EV Chargers,power,93.07
2021-10-22 14:18:21.8,EV Chargers,power,96.037
2021-10-22 14:48:37.579,EV Chargers,power,92.325
2021-10-22 15:18:57.624,EV Chargers,power,105.709
2021-10-22 15:49:18.116,EV Chargers,power,120.578
2021-10-22 16:19:37.374,EV Chargers,power,129.696
2021-10-22 16:49:57.73,EV Chargers,power,147.693
2021-10-22 17:20:16.55,EV Chargers,power,151.299
2021-10-22 17:50:36.554,EV Chargers,power,150.618
2021-10-22 18:20:56.345,EV Chargers,power,152.118
2021-10-22 18:51:15.446,EV Chargers,power,147.802
2021-10-22 19:21:31.806,EV Chargers,power,134.256
2021-10-22 19:51:48.712,EV Chargers,power,129.525
2021-10-22 20:22:06.779,EV Chargers,power,134.951
2021-10-22 20:52:23.4,EV Chargers,power,130.334
2021-10-22 21:22:45.468,EV Chargers,power,124.603
2021-10-22 22:23:22.999,EV Chargers,power,115.567
2021-10-22 22:53:38.819,EV Chargers,power,103.458
2021-10-22 23:24:01.539,EV Chargers,power,96.15
2021-10-22 23:54:22.964,EV Chargers,power,89.017
2021-10-23 00:25:01.44,EV Chargers,power,78.621
2021-10-23 00:55:02.515,EV Chargers,power,70.268
2021-10-23 01:25:18.792,EV Chargers,power,59.635
2021-10-23 01:55:19.851,EV Chargers,power,50.052
2021-10-23 02:25:37.562,EV Chargers,power,45.651
2021-10-23 02:56:02.493,EV Chargers,power,41.979
2021-10-23 03:26:23.29,EV Chargers,power,34.937
2021-10-23 03:57:01.626,EV Chargers,power,28.446
2021-10-23 04:27:28.125,EV Chargers,power,23.83
2021-10-23 04:57:28.569,EV Chargers,power,20.651
2021-10-23 05:27:45.077,EV Chargers,power,18.424
2021-10-23 05:58:09.501,EV Chargers,power,13.952
2021-10-23 06:28:29.909,EV Chargers,power,16.309
2021-10-23 06:58:48.877,EV Chargers,power,27.565
2021-10-23 07:29:08.169,EV Chargers,power,36.19
2021-10-23 07:59:25.599,EV Chargers,power,47.655
2021-10-23 08:29:48.534,EV Chargers,power,56.934
2021-10-23 09:00:16.033,EV Chargers,power,73.701
2021-10-23 09:30:37.331,EV Chargers,power,88.282
2021-10-23 10:01:02.65,EV Chargers,power,95.175
2021-10-23 10:31:03.065,EV Chargers,power,106.712
2021-10-23 11:01:18.138,EV Chargers,power,112.072
2021-10-23 11:31:40.355,EV Chargers,power,114.743
2021-10-23 12:02:01.156,EV Chargers,power,115.464
2021-10-23 12:32:20.784,EV Chargers,power,115.893
2021-10-23 13:02:38.315,EV Chargers,power,115.34
2021-10-23 13:32:38.876,EV Chargers,power,113.278
2021-10-23 14:02:56.358,EV Chargers,power,120.005
2021-10-23 14:33:25.493,EV Chargers,power,121.342
2021-10-23 15:03:46.131,EV Chargers,power,123.15
2021-10-23 15:33:46.732,EV Chargers,power,132.941
2021-10-23 16:04:15.958,EV Chargers,power,139.951
2021-10-23 16:34:37.173,EV Chargers,power,142.139
2021-10-23 17:04:54.201,EV Chargers,power,140.187
2021-10-23 17:35:14.729,EV Chargers,power,138.153
2021-10-23 18:05:41.108,EV Chargers,power,141.871
2021-10-23 18:35:59.284,EV Chargers,power,137.314
2021-10-23 19:06:18.35,EV Chargers,power,139.307
2021-10-23 19:36:39.407,EV Chargers,power,134.04
2021-10-23 20:07:03.758,EV Chargers,power,131.248
2021-10-23 20:37:27.619,EV Chargers,power,127.913
2021-10-23 21:07:53.425,EV Chargers,power,115.538
2021-10-23 21:38:13.448,EV Chargers,power,107.986
2021-10-23 22:08:34.193,EV Chargers,power,115.282
2021-10-23 22:38:53.527,EV Chargers,power,108.76
2021-10-23 23:09:19.861,EV Chargers,power,101.784
2021-10-23 23:39:40.682,EV Chargers,power,96.873
2021-10-24 00:09:52.218,EV Chargers,power,90.97
2021-10-24 00:40:08.214,EV Chargers,power,83.395
2021-10-24 01:10:28.228,EV Chargers,power,75.573
2021-10-24 01:40:49.961,EV Chargers,power,65.045
2021-10-24 02:11:12.516,EV Chargers,power,58.325
2021-10-24 02:41:31.564,EV Chargers,power,54.623
2021-10-24 03:11:49.384,EV Chargers,power,45.859
2021-10-24 03:42:04.781,EV Chargers,power,38.716
2021-10-24 04:12:21.709,EV Chargers,power,30.943
2021-10-24 04:42:43.115,EV Chargers,power,23.346
2021-10-24 05:43:54.132,EV Chargers,power,24.228
2021-10-24 06:13:54.697,EV Chargers,power,27.038
2021-10-24 06:44:12.803,EV Chargers,power,25.331
2021-10-24 07:14:32.285,EV Chargers,power,28.031
2021-10-24 07:44:54.907,EV Chargers,power,33.948
2021-10-24 08:15:16.11,EV Chargers,power,48.373
2021-10-24 08:45:36.039,EV Chargers,power,57.354
2021-10-24 09:15:58.491,EV Chargers,power,68.822
2021-10-24 09:46:20.469,EV Chargers,power,84.496
2021-10-24 10:16:35.164,EV Chargers,power,105.056
2021-10-24 10:47:04.793,EV Chargers,power,114.178
2021-10-24 11:17:20.262,EV Chargers,power,128.217
2021-10-24 11:47:39.971,EV Chargers,power,134.579
2021-10-24 12:17:56.272,EV Chargers,power,130.657
2021-10-24 12:48:14.637,EV Chargers,power,139.421
2021-10-24 13:18:15.073,EV Chargers,power,137.697
2021-10-24 13:48:38.759,EV Chargers,power,137.465
2021-10-24 14:19:01.456,EV Chargers,power,137.491
2021-10-24 14:49:22.141,EV Chargers,power,141.096
2021-10-24 15:19:43.019,EV Chargers,power,147.637
2021-10-24 15:50:07.212,EV Chargers,power,152.934
2021-10-24 16:20:29.424,EV Chargers,power,157.089
2021-10-24 16:50:51.317,EV Chargers,power,157.614
2021-10-24 17:21:19.542,EV Chargers,power,158.037
2021-10-24 17:51:20.202,EV Chargers,power,158.421
